Label,Image_Name,Image_Path
COVID,COVID-1.png,archive/COVID/images/COVID-1.png
COVID,COVID-1175.png,archive/COVID/images/COVID-1175.png
COVID,COVID-1613.png,archive/COVID/images/COVID-1613.png
COVID,COVID-948.png,archive/COVID/images/COVID-948.png
COVID,COVID-790.png,archive/COVID/images/COVID-790.png
COVID,COVID-3004.png,archive/COVID/images/COVID-3004.png
COVID,COVID-3010.png,archive/COVID/images/COVID-3010.png
COVID,COVID-1607.png,archive/COVID/images/COVID-1607.png
COVID,COVID-784.png,archive/COVID/images/COVID-784.png
COVID,COVID-1161.png,archive/COVID/images/COVID-1161.png
COVID,COVID-2468.png,archive/COVID/images/COVID-2468.png
COVID,COVID-1149.png,archive/COVID/images/COVID-1149.png
COVID,COVID-2440.png,archive/COVID/images/COVID-2440.png
COVID,COVID-3038.png,archive/COVID/images/COVID-3038.png
COVID,COVID-2326.png,archive/COVID/images/COVID-2326.png
COVID,COVID-974.png,archive/COVID/images/COVID-974.png
COVID,COVID-960.png,archive/COVID/images/COVID-960.png
COVID,COVID-2332.png,archive/COVID/images/COVID-2332.png
COVID,COVID-2454.png,archive/COVID/images/COVID-2454.png
COVID,COVID-753.png,archive/COVID/images/COVID-753.png
COVID,COVID-1808.png,archive/COVID/images/COVID-1808.png
COVID,COVID-747.png,archive/COVID/images/COVID-747.png
COVID,COVID-2483.png,archive/COVID/images/COVID-2483.png
COVID,COVID-1834.png,archive/COVID/images/COVID-1834.png
COVID,COVID-1820.png,archive/COVID/images/COVID-1820.png
COVID,COVID-2497.png,archive/COVID/images/COVID-2497.png
COVID,COVID-2118.png,archive/COVID/images/COVID-2118.png
COVID,COVID-3206.png,archive/COVID/images/COVID-3206.png
COVID,COVID-592.png,archive/COVID/images/COVID-592.png
COVID,COVID-1411.png,archive/COVID/images/COVID-1411.png
COVID,COVID-1377.png,archive/COVID/images/COVID-1377.png
COVID,COVID-3560.png,archive/COVID/images/COVID-3560.png
COVID,COVID-3574.png,archive/COVID/images/COVID-3574.png
COVID,COVID-1363.png,archive/COVID/images/COVID-1363.png
COVID,COVID-586.png,archive/COVID/images/COVID-586.png
COVID,COVID-1405.png,archive/COVID/images/COVID-1405.png
COVID,COVID-3212.png,archive/COVID/images/COVID-3212.png
COVID,COVID-2124.png,archive/COVID/images/COVID-2124.png
COVID,COVID-2642.png,archive/COVID/images/COVID-2642.png
COVID,COVID-3548.png,archive/COVID/images/COVID-3548.png
COVID,COVID-2656.png,archive/COVID/images/COVID-2656.png
COVID,COVID-2130.png,archive/COVID/images/COVID-2130.png
COVID,COVID-1439.png,archive/COVID/images/COVID-1439.png
COVID,COVID-551.png,archive/COVID/images/COVID-551.png
COVID,COVID-2865.png,archive/COVID/images/COVID-2865.png
COVID,COVID-237.png,archive/COVID/images/COVID-237.png
COVID,COVID-223.png,archive/COVID/images/COVID-223.png
COVID,COVID-2871.png,archive/COVID/images/COVID-2871.png
COVID,COVID-545.png,archive/COVID/images/COVID-545.png
COVID,COVID-22.png,archive/COVID/images/COVID-22.png
COVID,COVID-1388.png,archive/COVID/images/COVID-1388.png
COVID,COVID-2681.png,archive/COVID/images/COVID-2681.png
COVID,COVID-2859.png,archive/COVID/images/COVID-2859.png
COVID,COVID-2695.png,archive/COVID/images/COVID-2695.png
COVID,COVID-579.png,archive/COVID/images/COVID-579.png
COVID,COVID-36.png,archive/COVID/images/COVID-36.png
COVID,COVID-3372.png,archive/COVID/images/COVID-3372.png
COVID,COVID-1565.png,archive/COVID/images/COVID-1565.png
COVID,COVID-380.png,archive/COVID/images/COVID-380.png
COVID,COVID-1203.png,archive/COVID/images/COVID-1203.png
COVID,COVID-3414.png,archive/COVID/images/COVID-3414.png
COVID,COVID-3400.png,archive/COVID/images/COVID-3400.png
COVID,COVID-394.png,archive/COVID/images/COVID-394.png
COVID,COVID-1217.png,archive/COVID/images/COVID-1217.png
COVID,COVID-1571.png,archive/COVID/images/COVID-1571.png
COVID,COVID-3366.png,archive/COVID/images/COVID-3366.png
COVID,COVID-2078.png,archive/COVID/images/COVID-2078.png
COVID,COVID-1559.png,archive/COVID/images/COVID-1559.png
COVID,COVID-2050.png,archive/COVID/images/COVID-2050.png
