,A,B,C,D,E,F
0,3.6351656991548067,1.6209046342349445,8.15103616537504,0.0,4.7587792374031,-2.0
1,1.4476334468889318,1.2060503479255908,1.5807090581598455,0.0,2.3347902358707273,-2.0
2,1.17876753754875,1.1419991370794118,1.0808429206619046,0.0,2.2346914099640087,-2.0
3,3.055489180374049,1.7501496281818643,4.7198655157048055,0.0,1.8723022627594545,-2.0
4,3.2685673673958044,1.0466685238441173,4.04775558443186,0.0,3.1266490029146405,-2.0
5,3.9464375666644393,0.1991229394264374,0.8847231858806048,0.0,2.5988969373434645,-2.0
6,3.4677495529848796,0.8630348995580821,4.381443272013112,0.0,3.8886543848602213,-2.0
7,1.0778373265743557,0.6599783973962862,0.7094880466062055,0.0,2.498138695159765,-2.0
8,1.3763927252092647,1.326245267241793,2.436531470844824,0.0,3.111097133170003,-2.0
9,1.5871680238177284,1.587181317050884,3.706684189678347,0.0,3.6875607552542755,-2.0
10,2.515847646530072,1.1913451837508562,2.7674678742408094,0.0,2.2702248974962815,-2.0
11,5.256307649203492,1.5406929357066237,9.943874479800712,0.0,4.345518416772201,-2.0
12,2.1650936596321433,0.3702127188871796,1.4187998762126632,0.0,3.117254665834854,-2.0
13,6.018765041301863,0.4715079614206938,3.915723163189334,0.0,3.5778275282949545,-2.0
14,3.519561572390879,1.5265656237359426,5.750734641533784,0.0,2.8778929344998465,-2.0
15,2.0143757976708536,-0.24201932078014324,-0.230047510946231,0.0,2.7574703514020285,-2.0
16,3.2121974122747963,1.4107426981447075,5.219831461237455,0.0,3.188247416871462,-2.0
17,1.9321346337917604,0.7898479766481336,1.0288428992902712,0.0,2.0027502681780667,-2.0
18,1.6368067648024653,0.6577725674978905,1.1275769258472348,0.0,2.5509303376652013,-2.0
19,-0.13471299454635022,1.4267542870787755,-0.13554484348103113,0.0,2.556657499013194,-2.0
20,7.062216870816288,0.4102798769851551,5.4518341645711175,0.0,5.054348695570124,-2.0
21,9.002461963281856,0.6729878525685207,7.213003536632474,0.0,3.654455992133628,-2.0
22,4.089785010744802,0.017131877445221575,-0.5662782074491544,0.0,1.8636560969694616,-2.0
23,3.870403546214548,0.8130309934036274,2.861739051714318,0.0,2.214981011662582,-2.0
24,-0.3323553832475019,1.2993933162074893,-0.44740540406696105,0.0,2.4844549595304213,-2.0
25,2.014255484503098,0.18538603700126877,0.16480741130282528,0.0,2.2913925695227255,-2.0
26,1.5841930761858634,2.018998156155635,2.3481815160932094,0.0,1.6496986162794278,-2.0
27,3.6918728166766406,2.429728443370058,9.021871334497412,0.0,2.551622942513448,-2.0
28,3.1727759302090046,1.1914593863584233,2.658096844459929,0.0,1.3778631816003326,-2.0
29,4.118894244988805,0.4612455758295072,1.8706020744162242,0.0,2.470780326605519,-2.0
30,1.3102193585874715,3.0614637096828767,3.7983912652992844,0.0,2.2872022472597644,-2.0
31,3.5014013207393577,1.0771774614475609,2.9197453079364166,0.0,1.6481147217532581,-2.0
32,10.375196539769872,1.33224676855198,17.422781974495123,0.0,6.100459911295024,-2.0
33,2.5337543156417865,-0.0025206662208004486,2.135949180841301,0.0,4.6423359297565465,-2.0
34,4.932772591339246,1.638346303111738,10.301456044682116,0.0,4.719866305570554,-2.0
35,5.531063317149766,0.22792914145219395,1.3584222368327818,0.0,2.597731723637112,-2.0
36,-0.03992552899124313,1.6450255139479384,-0.5078099230780762,0.0,2.057868590770387,-2.0
37,4.2264544087171565,-1.2661239451110855,-5.721416615703493,0.0,2.129798514093613,-2.0
38,3.3783459096083126,-0.0033368185191180516,-0.042915569238852314,0.0,2.4683573579563154,-2.0
39,-0.8910966560451338,1.904811350249718,-2.6710082936332427,0.0,1.5263627309710968,-2.0
40,1.9816224318864946,0.9134704915737725,2.6667026228660653,0.0,3.356549005897095,-2.0
41,0.21387093725774323,0.0332320982654755,1.636329189163959,0.0,4.129221809160881,-2.0
42,5.885860018684874,3.0793620843624367,18.74437496667072,0.0,3.1196807912677347,-2.0
43,3.3225755790636122,0.9865015654521173,2.1820478747047707,0.0,1.4043218646255422,-2.0
44,7.115365836069509,0.765347776538032,6.036463161910108,0.0,3.0907337400196337,-2.0
45,5.20214254206737,-0.31301967408665865,-1.6761206733183995,0.0,2.4522522897518706,-2.0
46,2.509154714964061,0.5921133291087961,2.300575258037588,0.0,3.314871306511185,-2.0
47,3.351134329836447,1.549769343476782,5.025916040436192,0.0,2.332430790183056,-2.0
